region,month_name,total_sales
South,Mar,243597.0
South,Jan,222354.0
East,Apr,384415.0
East,Nov,342955.0
Central,May,278787.0
East,Mar,361200.0
Central,Oct,275557.0
South,Nov,234930.0
Central,Apr,296392.0
South,Jul,166979.0
Central,Mar,314839.0
East,Jan,374872.0
West,Apr,383211.0
East,Sep,332987.0
South,Sep,213515.0
West,Aug,329364.0
Central,Nov,265852.0
South,Feb,216041.0
West,Mar,361287.0
South,Dec,238385.0
East,Feb,368336.0
West,Dec,442012.0
West,Sep,367980.0
Central,Sep,262215.0
South,Aug,208891.0
East,Jun,321721.0
West,Jan,407652.0
South,Apr,243883.0
Central,Dec,304729.0
West,Oct,375702.0
Central,Jun,262927.0
Central,Aug,303368.0
East,Oct,414761.0
West,Jun,364247.0
West,Jul,370529.0
West,Nov,379313.0
East,Dec,390913.0
South,Jun,229613.0
East,Jul,375838.0
East,May,364715.0
South,Oct,254725.0
Central,Jul,308626.0
Central,Jan,290823.0
East,Aug,333300.0
Central,Feb,298786.0
South,May,255370.0
West,May,368727.0
West,Feb,281162.0
