category,month,total_sales,total_profit
Furniture,Sep,260394.0,45355.0
Furniture,Oct,248103.0,44426.0
Furniture,Mar,283157.0,51930.0
Office Supplies,Feb,687893.0,123361.0
Technology,Jul,264478.0,45639.0
Office Supplies,Dec,743072.0,129295.0
Furniture,Aug,241795.0,43771.0
Office Supplies,Jul,688807.0,124954.0
Office Supplies,Jun,664414.0,120842.0
Technology,Sep,234179.0,42086.0
Technology,Dec,311303.0,55769.0
Technology,Jun,266404.0,48940.0
Office Supplies,Jan,765671.0,133144.0
Technology,Aug,240925.0,42411.0
Technology,Oct,304019.0,51508.0
Technology,Jan,257721.0,45593.0
Office Supplies,Mar,750945.0,126121.0
Office Supplies,Aug,665610.0,116874.0
Office Supplies,Sep,654631.0,116674.0
Office Supplies,Oct,748052.0,131048.0
Furniture,Nov,228476.0,39433.0
Office Supplies,Nov,691559.0,117364.0
Technology,May,240468.0,41037.0
Furniture,Feb,228774.0,42826.0
Office Supplies,Apr,700674.0,123212.0
Furniture,Jan,236020.0,41492.0
Furniture,Jun,219573.0,38286.0
Technology,Nov,272304.0,48671.0
Technology,Mar,213068.0,36870.0
Technology,Feb,223433.0,36402.0
Furniture,Apr,246484.0,43820.0
Technology,Apr,317355.0,54073.0
Furniture,Dec,275902.0,50256.0
Office Supplies,May,760994.0,136317.0
Furniture,Jul,222553.0,38067.0
Furniture,May,233830.0,42919.0
