category,month,total_sales,total_profit
Furniture,Sep,235443.0,40474.0
Furniture,Oct,212490.0,38902.0
Furniture,Mar,267170.0,48877.0
Office Supplies,Feb,609356.0,108575.0
Technology,Jul,236654.0,40602.0
Office Supplies,Dec,674034.0,117419.0
Furniture,Aug,222114.0,40589.0
Office Supplies,Jul,613765.0,111895.0
Office Supplies,Jun,590646.0,108064.0
Technology,Sep,202484.0,36738.0
Technology,Dec,289089.0,51621.0
Technology,Jun,240823.0,44044.0
Office Supplies,Jan,684998.0,118221.0
Technology,Aug,217038.0,38085.0
Technology,Oct,263930.0,45116.0
Technology,Jan,226167.0,41079.0
Office Supplies,Mar,666860.0,112304.0
Office Supplies,Aug,599390.0,105414.0
Office Supplies,Sep,594425.0,105826.0
Office Supplies,Oct,673517.0,118074.0
Furniture,Nov,205969.0,35498.0
Office Supplies,Nov,600941.0,102203.0
Technology,May,216939.0,36680.0
Furniture,Feb,175574.0,32650.0
Office Supplies,Apr,629663.0,109973.0
Furniture,Jan,212235.0,36989.0
Furniture,Jun,202499.0,35089.0
Technology,Nov,252917.0,45487.0
Technology,Mar,194197.0,33376.0
Technology,Feb,201549.0,32996.0
Furniture,Apr,222342.0,39674.0
Technology,Apr,281824.0,48335.0
Furniture,Dec,253717.0,46461.0
Office Supplies,May,695532.0,124799.0
Furniture,Jul,192482.0,34051.0
Furniture,May,210012.0,38948.0
