segment,month_name,total_sales,total_profit
Corporate,Oct,338238.0,59313.0
Home Office,Jul,213425.0,39300.0
Consumer,Jul,497769.0,87625.0
Corporate,Mar,295986.0,50110.0
Consumer,Nov,481094.0,82709.0
Home Office,Aug,182170.0,32901.0
Consumer,Aug,526693.0,94523.0
Corporate,Aug,292366.0,50582.0
Home Office,Apr,186974.0,32412.0
Consumer,Jun,499737.0,89947.0
Consumer,May,536171.0,95410.0
Home Office,Sep,163773.0,28732.0
Corporate,Jul,284161.0,51290.0
Corporate,Dec,369169.0,63804.0
Corporate,May,326450.0,57406.0
Corporate,Apr,323155.0,55255.0
Home Office,May,189483.0,34445.0
Home Office,Jan,191675.0,35581.0
Home Office,Jun,168076.0,31233.0
Consumer,Sep,525241.0,92327.0
Home Office,Mar,203890.0,33105.0
Consumer,Apr,578640.0,101935.0
Home Office,Nov,189838.0,33382.0
Home Office,Oct,204999.0,36266.0
Consumer,Dec,587379.0,106613.0
Corporate,Nov,350137.0,59857.0
Corporate,Sep,292525.0,51849.0
Corporate,Feb,306614.0,50361.0
Home Office,Feb,159297.0,28670.0
Consumer,Mar,572012.0,101092.0
Consumer,Oct,560650.0,99588.0
Corporate,Jan,381340.0,64067.0
Consumer,Jan,503399.0,88430.0
Corporate,Jun,318612.0,57678.0
Home Office,Dec,204068.0,35106.0
Consumer,Feb,481556.0,87988.0
