category,month,total_sales,total_profit
Furniture,Sep,261735.0,45615.0
Furniture,Oct,250761.0,44927.0
Furniture,Mar,285528.0,52359.0
Office Supplies,Feb,695027.0,124370.0
Technology,Jul,267836.0,46130.0
Office Supplies,Dec,749340.0,130403.0
Furniture,Aug,244790.0,44118.0
Office Supplies,Jul,698899.0,126704.0
Office Supplies,Jun,673219.0,122309.0
Technology,Sep,235705.0,42297.0
Technology,Dec,323030.0,58656.0
Technology,Jun,268387.0,49265.0
Office Supplies,Jan,773946.0,134425.0
Technology,Aug,243882.0,42933.0
Technology,Oct,305438.0,51736.0
Technology,Jan,259996.0,46067.0
Office Supplies,Mar,760124.0,127914.0
Office Supplies,Aug,675348.0,118409.0
Office Supplies,Sep,666334.0,118741.0
Office Supplies,Oct,751603.0,131754.0
Furniture,Nov,231395.0,40018.0
Office Supplies,Nov,697471.0,118340.0
Technology,May,244511.0,41833.0
Furniture,Feb,232649.0,43488.0
Office Supplies,Apr,710516.0,124646.0
Furniture,Jan,237848.0,41749.0
Furniture,Jun,225898.0,39080.0
Technology,Nov,276751.0,49308.0
Technology,Mar,223078.0,38803.0
Technology,Feb,224491.0,36615.0
Furniture,Apr,260454.0,45967.0
Technology,Apr,321028.0,54964.0
Furniture,Dec,280040.0,51169.0
Office Supplies,May,769593.0,137888.0
Furniture,Jul,233959.0,39988.0
Furniture,May,238943.0,43951.0
