state,total_sales,total_customers
Alabama,45566.0,9
Arizona,249764.0,32
Arkansas,53913.0,3
California,1844582.0,260
Colorado,226795.0,35
Connecticut,73078.0,10
Delaware,68683.0,7
District of Columbia,5512.0,1
Florida,367880.0,49
Georgia,112555.0,17
Illinois,418416.0,67
Indiana,115028.0,17
Iowa,13082.0,4
Kansas,36327.0,4
Kentucky,244612.0,28
Louisiana,45263.0,10
Maryland,21044.0,3
Massachusetts,116155.0,17
Michigan,190666.0,24
Minnesota,157497.0,17
Mississippi,56443.0,7
Missouri,58008.0,12
Nebraska,520.0,1
Nevada,13159.0,6
New Hampshire,23468.0,4
New Jersey,163724.0,22
New Mexico,759.0,2
New York,945605.0,138
North Carolina,257698.0,38
Ohio,472102.0,74
Oklahoma,36129.0,4
Oregon,34607.0,3
Pennsylvania,503582.0,69
Rhode Island,48370.0,4
Tennessee,145594.0,20
Texas,930103.0,108
Utah,55675.0,9
Virginia,209713.0,32
Washington,420310.0,63
Wisconsin,51285.0,11
