category,month,total_sales,total_profit
Furniture,Sep,247696.0,42839.0
Furniture,Oct,230373.0,41693.0
Furniture,Mar,270760.0,49510.0
Office Supplies,Feb,633393.0,112787.0
Technology,Jul,252731.0,43363.0
Office Supplies,Dec,706661.0,122787.0
Furniture,Aug,227718.0,41736.0
Office Supplies,Jul,638355.0,115970.0
Office Supplies,Jun,613675.0,112083.0
Technology,Sep,218043.0,39496.0
Technology,Dec,300339.0,53648.0
Technology,Jun,252418.0,46138.0
Office Supplies,Jan,710793.0,122972.0
Technology,Aug,227478.0,40082.0
Technology,Oct,281523.0,48472.0
Technology,Jan,243005.0,43415.0
Office Supplies,Mar,696157.0,117962.0
Office Supplies,Aug,633222.0,111061.0
Office Supplies,Sep,614267.0,109058.0
Office Supplies,Oct,697601.0,122489.0
Furniture,Nov,212840.0,36668.0
Office Supplies,Nov,636477.0,108404.0
Technology,May,225632.0,38403.0
Furniture,Feb,195176.0,36411.0
Office Supplies,Apr,658495.0,115298.0
Furniture,Jan,221762.0,38931.0
Furniture,Jun,208959.0,36501.0
Technology,Nov,257681.0,46229.0
Technology,Mar,200527.0,34661.0
Technology,Feb,210329.0,34545.0
Furniture,Apr,233312.0,41635.0
Technology,Apr,302186.0,51717.0
Furniture,Dec,260765.0,47539.0
Office Supplies,May,726024.0,130157.0
Furniture,Jul,210401.0,35882.0
Furniture,May,221917.0,40941.0
