category,month,total_sales,total_profit
Furniture,Sep,236165.0,40571.0
Furniture,Oct,212681.0,38914.0
Furniture,Mar,267303.0,48909.0
Office Supplies,Feb,610512.0,108733.0
Technology,Jul,236654.0,40602.0
Office Supplies,Dec,674833.0,117497.0
Furniture,Aug,222114.0,40589.0
Office Supplies,Jul,614903.0,111986.0
Office Supplies,Jun,590944.0,108081.0
Technology,Sep,202484.0,36738.0
Technology,Dec,290495.0,51819.0
Technology,Jun,241097.0,44102.0
Office Supplies,Jan,686106.0,118409.0
Technology,Aug,217626.0,38245.0
Technology,Oct,263930.0,45116.0
Technology,Jan,226642.0,41148.0
Office Supplies,Mar,667169.0,112355.0
Office Supplies,Aug,599811.0,105532.0
Office Supplies,Sep,595145.0,105937.0
Office Supplies,Oct,674594.0,118291.0
Furniture,Nov,207095.0,35761.0
Office Supplies,Nov,602535.0,102591.0
Technology,May,217102.0,36692.0
Furniture,Feb,175939.0,32725.0
Office Supplies,Apr,630728.0,110199.0
Furniture,Jan,213020.0,37072.0
Furniture,Jun,202745.0,35161.0
Technology,Nov,252917.0,45487.0
Technology,Mar,194197.0,33376.0
Technology,Feb,203068.0,33236.0
Furniture,Apr,223269.0,39864.0
Technology,Apr,282413.0,48452.0
Furniture,Dec,253717.0,46461.0
Office Supplies,May,696519.0,124999.0
Furniture,Jul,193577.0,34167.0
Furniture,May,210212.0,38994.0
