state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,116,1
Alabama,Binders,74,2
Alabama,Furnishings,51,3
Alabama,Accessories,35,4
Alabama,Storage,35,4
Alabama,Art,33,6
Alabama,Chairs,31,7
Alabama,Phones,29,8
Alabama,Appliances,27,9
Alabama,Envelopes,25,10
Alabama,Tables,18,11
Alabama,Labels,16,12
Alabama,Bookcases,16,12
Alabama,Fasteners,9,14
Alabama,Copiers,8,15
Alabama,Supplies,3,16
Arizona,Paper,350,1
Arizona,Furnishings,300,2
Arizona,Binders,299,3
Arizona,Phones,287,4
Arizona,Art,237,5
Arizona,Accessories,213,6
Arizona,Storage,206,7
Arizona,Appliances,144,8
Arizona,Labels,142,9
Arizona,Chairs,138,10
Arizona,Bookcases,91,11
Arizona,Machines,90,12
Arizona,Tables,89,13
Arizona,Envelopes,88,14
Arizona,Supplies,44,15
Arizona,Fasteners,42,16
Arizona,Copiers,23,17
Arkansas,Furnishings,53,1
Arkansas,Art,50,2
Arkansas,Phones,48,3
Arkansas,Paper,42,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Fasteners,18,7
Arkansas,Labels,18,7
Arkansas,Appliances,16,9
Arkansas,Accessories,16,9
Arkansas,Chairs,13,11
Arkansas,Tables,12,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,2635,1
California,Binders,2116,2
California,Phones,1868,3
California,Furnishings,1753,4
California,Art,1751,5
California,Accessories,1488,6
California,Storage,1327,7
California,Appliances,1096,8
California,Chairs,897,9
California,Machines,739,10
California,Labels,727,11
California,Envelopes,600,12
California,Tables,589,13
California,Bookcases,553,14
California,Supplies,429,15
California,Fasteners,366,16
California,Copiers,121,17
Colorado,Binders,342,1
Colorado,Paper,325,2
Colorado,Phones,246,3
Colorado,Furnishings,242,4
Colorado,Art,198,5
Colorado,Storage,183,6
Colorado,Accessories,144,7
Colorado,Appliances,113,8
Colorado,Machines,102,9
Colorado,Chairs,102,9
Colorado,Labels,83,11
Colorado,Bookcases,82,12
Colorado,Envelopes,80,13
Colorado,Tables,78,14
Colorado,Supplies,62,15
Colorado,Fasteners,42,16
Colorado,Copiers,10,17
Connecticut,Phones,79,1
Connecticut,Furnishings,78,2
Connecticut,Binders,65,3
Connecticut,Paper,63,4
Connecticut,Accessories,62,5
Connecticut,Art,53,6
Connecticut,Storage,46,7
Connecticut,Appliances,45,8
Connecticut,Labels,44,9
Connecticut,Machines,24,10
Connecticut,Fasteners,23,11
Connecticut,Chairs,21,12
Connecticut,Tables,19,13
Connecticut,Bookcases,17,14
Connecticut,Envelopes,8,15
Connecticut,Supplies,8,15
Connecticut,Copiers,2,17
Delaware,Storage,121,1
Delaware,Paper,96,2
Delaware,Furnishings,90,3
Delaware,Accessories,78,4
Delaware,Phones,60,5
Delaware,Appliances,50,6
Delaware,Binders,47,7
Delaware,Machines,47,7
Delaware,Chairs,45,9
Delaware,Art,42,10
Delaware,Supplies,28,11
Delaware,Labels,23,12
Delaware,Envelopes,22,13
Delaware,Bookcases,20,14
Delaware,Fasteners,12,15
Delaware,Tables,9,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,10,3
District of Columbia,Art,7,4
District of Columbia,Fasteners,7,4
District of Columbia,Furnishings,7,4
District of Columbia,Phones,5,7
District of Columbia,Envelopes,3,8
District of Columbia,Chairs,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
Florida,Paper,544,1
Florida,Binders,453,2
Florida,Art,380,3
Florida,Phones,353,4
Florida,Furnishings,335,5
Florida,Accessories,306,6
Florida,Storage,248,7
Florida,Appliances,188,8
Florida,Chairs,177,9
Florida,Labels,164,10
Florida,Tables,128,11
Florida,Machines,114,12
Florida,Fasteners,101,13
Florida,Envelopes,89,14
Florida,Supplies,75,15
Florida,Bookcases,61,16
Florida,Copiers,15,17
Georgia,Phones,197,1
Georgia,Binders,191,2
Georgia,Paper,182,3
Georgia,Furnishings,128,4
Georgia,Art,120,5
Georgia,Appliances,88,6
Georgia,Storage,77,7
Georgia,Accessories,70,8
Georgia,Chairs,61,9
Georgia,Tables,59,10
Georgia,Bookcases,51,11
Georgia,Machines,50,12
