category,month,total_sales,total_profit
Furniture,Sep,278426.0,48540.0
Furniture,Oct,273949.0,49149.0
Furniture,Mar,302142.0,55474.0
Office Supplies,Feb,740533.0,132002.0
Technology,Jul,312509.0,52524.0
Office Supplies,Dec,829370.0,143050.0
Furniture,Aug,262512.0,47156.0
Office Supplies,Jul,742521.0,134497.0
Office Supplies,Jun,728842.0,132541.0
Technology,Sep,258759.0,45596.0
Technology,Dec,342376.0,62007.0
Technology,Jun,309016.0,55328.0
Office Supplies,Jan,833685.0,146465.0
Technology,Aug,268653.0,47662.0
Technology,Oct,326688.0,55626.0
Technology,Jan,288474.0,50866.0
Office Supplies,Mar,807892.0,136827.0
Office Supplies,Aug,727806.0,128138.0
Office Supplies,Sep,737228.0,131438.0
Office Supplies,Oct,811431.0,141748.0
Furniture,Nov,249334.0,43095.0
Office Supplies,Nov,744221.0,126640.0
Technology,May,270574.0,45677.0
Furniture,Feb,246388.0,46145.0
Office Supplies,Apr,765196.0,134647.0
Furniture,Jan,261766.0,45931.0
Furniture,Jun,240289.0,41346.0
Technology,Nov,294163.0,52928.0
Technology,Mar,247452.0,42185.0
Technology,Feb,246219.0,39940.0
Furniture,Apr,279288.0,49393.0
Technology,Apr,341988.0,58646.0
Furniture,Dec,298050.0,54626.0
Office Supplies,May,820920.0,146891.0
Furniture,Jul,251700.0,43485.0
Furniture,May,254654.0,46886.0
