category,month,total_sales,total_profit
Furniture,Sep,260590.0,45380.0
Furniture,Oct,249533.0,44648.0
Furniture,Mar,283835.0,52047.0
Office Supplies,Feb,690402.0,123570.0
Technology,Jul,264931.0,45691.0
Office Supplies,Dec,746252.0,129888.0
Furniture,Aug,242087.0,43821.0
Office Supplies,Jul,692196.0,125637.0
Office Supplies,Jun,666759.0,121162.0
Technology,Sep,234776.0,42206.0
Technology,Dec,312543.0,55938.0
Technology,Jun,266404.0,48940.0
Office Supplies,Jan,768134.0,133439.0
Technology,Aug,242063.0,42628.0
Technology,Oct,304571.0,51591.0
Technology,Jan,258666.0,45751.0
Office Supplies,Mar,752901.0,126339.0
Office Supplies,Aug,667642.0,117281.0
Office Supplies,Sep,656532.0,116951.0
Office Supplies,Oct,748630.0,131130.0
Furniture,Nov,228899.0,39525.0
Office Supplies,Nov,693510.0,117735.0
Technology,May,240832.0,41112.0
Furniture,Feb,229249.0,42907.0
Office Supplies,Apr,701727.0,123425.0
Furniture,Jan,236681.0,41581.0
Furniture,Jun,220724.0,38486.0
Technology,Nov,273724.0,48838.0
Technology,Mar,213732.0,36994.0
Technology,Feb,223433.0,36402.0
Furniture,Apr,247198.0,43929.0
Technology,Apr,318729.0,54454.0
Furniture,Dec,278512.0,50811.0
Office Supplies,May,763997.0,136856.0
Furniture,Jul,223067.0,38205.0
Furniture,May,234352.0,43005.0
