category,month,total_sales,total_profit
Furniture,Sep,214842.0,36562.0
Furniture,Oct,203732.0,37627.0
Furniture,Mar,246063.0,45058.0
Office Supplies,Feb,576905.0,102096.0
Technology,Jul,211936.0,36600.0
Office Supplies,Dec,632896.0,110151.0
Furniture,Aug,210262.0,38273.0
Office Supplies,Jul,578831.0,105281.0
Office Supplies,Jun,551306.0,101299.0
Technology,Sep,195364.0,35609.0
Technology,Dec,268724.0,48164.0
Technology,Jun,227673.0,41718.0
Office Supplies,Jan,647446.0,111879.0
Technology,Aug,204724.0,35722.0
Technology,Oct,252968.0,43234.0
Technology,Jan,211804.0,38504.0
Office Supplies,Mar,625952.0,104909.0
Office Supplies,Aug,568223.0,100128.0
Office Supplies,Sep,550720.0,97405.0
Office Supplies,Oct,630334.0,111164.0
Furniture,Nov,194860.0,33433.0
Office Supplies,Nov,574664.0,97423.0
Technology,May,203135.0,33774.0
Furniture,Feb,166293.0,31096.0
Office Supplies,Apr,587081.0,102173.0
Furniture,Jan,194022.0,33765.0
Furniture,Jun,191227.0,32986.0
Technology,Nov,240470.0,42844.0
Technology,Mar,183285.0,31288.0
Technology,Feb,193840.0,31724.0
Furniture,Apr,212301.0,37787.0
Technology,Apr,274200.0,46961.0
Furniture,Dec,241439.0,44410.0
Office Supplies,May,638233.0,114580.0
Furniture,Jul,182490.0,32391.0
Furniture,May,197198.0,36609.0
