category,month,total_sales,total_profit
Furniture,Sep,194857.0,32632.0
Furniture,Oct,185396.0,34252.0
Furniture,Mar,222047.0,40766.0
Office Supplies,Feb,526264.0,92636.0
Technology,Jul,192973.0,33897.0
Office Supplies,Dec,584877.0,101711.0
Furniture,Aug,180411.0,32596.0
Office Supplies,Jul,524639.0,96492.0
Office Supplies,Jun,503408.0,92350.0
Technology,Sep,176457.0,32214.0
Technology,Dec,236502.0,41226.0
Technology,Jun,208962.0,38130.0
Office Supplies,Jan,584660.0,100819.0
Technology,Aug,193847.0,33927.0
Technology,Oct,239025.0,40991.0
Technology,Jan,196337.0,35764.0
Office Supplies,Mar,565392.0,95532.0
Office Supplies,Aug,509909.0,90188.0
Office Supplies,Sep,511600.0,90513.0
Office Supplies,Oct,572870.0,101962.0
Furniture,Nov,176690.0,29941.0
Office Supplies,Nov,511041.0,87860.0
Technology,May,186851.0,31146.0
Furniture,Feb,150411.0,28034.0
Office Supplies,Apr,513538.0,90979.0
Furniture,Jan,178628.0,31126.0
Furniture,Jun,182271.0,31361.0
Technology,Nov,212315.0,37069.0
Technology,Mar,171841.0,29200.0
Technology,Feb,165702.0,28033.0
Furniture,Apr,198882.0,35513.0
Technology,Apr,240532.0,40738.0
Furniture,Dec,190749.0,34378.0
Office Supplies,May,576823.0,103563.0
Furniture,Jul,162139.0,28682.0
Furniture,May,180842.0,33596.0
