segment,month_name,total_sales,total_profit
Corporate,Oct,414847.0,71091.0
Home Office,Jul,242037.0,44089.0
Consumer,Jul,595541.0,104664.0
Corporate,Mar,338157.0,56379.0
Consumer,Nov,585591.0,100312.0
Home Office,Aug,206228.0,37321.0
Consumer,Aug,606591.0,107993.0
Corporate,Aug,335511.0,57742.0
Home Office,Apr,219329.0,38416.0
Consumer,Jun,580497.0,104698.0
Consumer,May,643999.0,114002.0
Home Office,Sep,200816.0,35450.0
Corporate,Jul,338260.0,59907.0
Corporate,Dec,416886.0,72098.0
Corporate,May,368755.0,65590.0
Corporate,Apr,387873.0,66604.0
Home Office,May,222538.0,40681.0
Home Office,Jan,216559.0,39910.0
Home Office,Jun,198707.0,36617.0
Consumer,Sep,607397.0,107937.0
Home Office,Mar,242748.0,40591.0
Consumer,Apr,657311.0,116085.0
Home Office,Nov,212764.0,37326.0
Home Office,Oct,237701.0,42181.0
Consumer,Dec,679344.0,123041.0
Corporate,Nov,393984.0,67830.0
Corporate,Sep,340991.0,60728.0
Corporate,Feb,379751.0,65424.0
Home Office,Feb,192815.0,35134.0
Consumer,Mar,666265.0,117951.0
Consumer,Oct,647626.0,113710.0
Corporate,Jan,457916.0,78407.0
Consumer,Jan,584937.0,101912.0
Corporate,Jun,371187.0,66753.0
Home Office,Dec,234047.0,40181.0
Consumer,Feb,567534.0,102031.0
