region,month_name,total_sales
South,Mar,182754.0
South,Jan,157406.0
East,Apr,255500.0
East,Nov,240144.0
Central,May,199034.0
East,Mar,247891.0
Central,Oct,184541.0
South,Nov,154751.0
Central,Apr,205428.0
South,Jul,107822.0
Central,Mar,222654.0
East,Jan,262842.0
West,Apr,255492.0
East,Sep,223920.0
South,Sep,158417.0
West,Aug,225045.0
Central,Nov,180568.0
South,Feb,158460.0
West,Mar,253739.0
South,Dec,177125.0
East,Feb,236630.0
West,Dec,297312.0
West,Sep,240452.0
Central,Sep,187768.0
South,Aug,151547.0
East,Jun,218586.0
West,Jan,268629.0
South,Apr,146837.0
Central,Dec,194639.0
West,Oct,253200.0
Central,Jun,182084.0
Central,Aug,200585.0
East,Oct,303603.0
West,Jun,262630.0
West,Jul,260496.0
West,Nov,253968.0
East,Dec,260167.0
South,Jun,143352.0
East,Jul,234245.0
East,May,251179.0
South,Oct,179759.0
Central,Jul,201240.0
Central,Jan,187111.0
East,Aug,239787.0
Central,Feb,196692.0
South,May,171599.0
West,May,239712.0
West,Feb,177173.0
