category,month,total_sales,total_profit
Furniture,Sep,275614.0,48030.0
Furniture,Oct,273278.0,49026.0
Furniture,Mar,301005.0,55242.0
Office Supplies,Feb,739493.0,131837.0
Technology,Jul,308483.0,51787.0
Office Supplies,Dec,823697.0,141851.0
Furniture,Aug,261202.0,46877.0
Office Supplies,Jul,738431.0,133694.0
Office Supplies,Jun,724107.0,131736.0
Technology,Sep,256707.0,45328.0
Technology,Dec,341101.0,61832.0
Technology,Jun,308194.0,55183.0
Office Supplies,Jan,828332.0,145571.0
Technology,Aug,259764.0,46173.0
Technology,Oct,323610.0,54982.0
Technology,Jan,287616.0,50708.0
Office Supplies,Mar,803731.0,135948.0
Office Supplies,Aug,719945.0,126629.0
Office Supplies,Sep,731050.0,130392.0
Office Supplies,Oct,809201.0,141422.0
Furniture,Nov,247496.0,42728.0
Office Supplies,Nov,733798.0,125514.0
Technology,May,269812.0,45503.0
Furniture,Feb,246123.0,46094.0
Office Supplies,Apr,760448.0,133910.0
Furniture,Jan,261624.0,45918.0
Furniture,Jun,238038.0,41132.0
Technology,Nov,291929.0,52536.0
Technology,Mar,236215.0,41224.0
Technology,Feb,245865.0,39919.0
Furniture,Apr,278386.0,49226.0
Technology,Apr,341426.0,58541.0
Furniture,Dec,296493.0,54385.0
Office Supplies,May,816167.0,145869.0
Furniture,Jul,249554.0,43115.0
Furniture,May,254522.0,46851.0
