state,total_sales,total_customers
Alabama,102262.0,79
Arizona,462571.0,207
Arkansas,62126.0,13
California,3129411.0,1447
Colorado,370713.0,168
Connecticut,109552.0,52
Delaware,119943.0,57
District of Columbia,8653.0,5
Florida,532968.0,222
Georgia,256273.0,153
Illinois,794847.0,368
Indiana,185899.0,93
Iowa,40955.0,33
Kansas,40053.0,8
Kentucky,382458.0,111
Louisiana,85238.0,53
Maryland,50032.0,27
Massachusetts,197046.0,96
Michigan,336286.0,134
Minnesota,280195.0,116
Mississippi,88460.0,45
Missouri,100399.0,56
Nebraska,9895.0,12
Nevada,29258.0,23
New Hampshire,34781.0,21
New Jersey,237443.0,97
New Mexico,22272.0,27
New York,1654797.0,766
North Carolina,480467.0,265
Ohio,745272.0,334
Oklahoma,68446.0,30
Oregon,60075.0,20
Pennsylvania,888824.0,440
Rhode Island,84968.0,35
South Dakota,19109.0,9
Tennessee,222187.0,104
Texas,1522817.0,677
Utah,122875.0,54
Virginia,298448.0,128
Washington,723901.0,352
Wisconsin,113085.0,66
