state,total_sales,total_customers
Alabama,66627.0,37
Arizona,338313.0,110
Arkansas,57876.0,7
California,2309845.0,675
Colorado,265384.0,77
Connecticut,83139.0,25
Delaware,86570.0,25
District of Columbia,6729.0,2
Florida,438779.0,115
Georgia,158603.0,76
Illinois,531152.0,177
Indiana,134344.0,42
Iowa,29334.0,17
Kansas,36327.0,4
Kentucky,291706.0,55
Louisiana,59927.0,26
Maryland,41327.0,15
Massachusetts,157756.0,53
Michigan,236781.0,63
Minnesota,195900.0,46
Mississippi,63908.0,19
Missouri,75959.0,27
Nebraska,5682.0,7
Nevada,25100.0,16
New Hampshire,27303.0,11
New Jersey,188706.0,49
New Mexico,8979.0,12
New York,1217349.0,370
North Carolina,348239.0,128
Ohio,564688.0,168
Oklahoma,45216.0,13
Oregon,37626.0,7
Pennsylvania,642566.0,198
Rhode Island,58870.0,15
South Dakota,4821.0,5
Tennessee,190931.0,60
Texas,1147989.0,345
Utah,82768.0,27
Virginia,247959.0,69
Washington,555253.0,180
Wisconsin,85551.0,33
