region,month_name,total_sales
South,Mar,153645.0
Central,Sep,155139.0
South,Aug,132060.0
South,Jan,135626.0
East,Jun,180269.0
West,Jan,232390.0
South,Apr,123031.0
East,Apr,209343.0
East,Nov,211304.0
Central,Dec,163602.0
West,Oct,226639.0
Central,May,179233.0
Central,Jun,158808.0
East,Mar,204328.0
Central,Aug,165904.0
East,Oct,254932.0
Central,Oct,164671.0
South,Nov,133457.0
West,Jun,202507.0
Central,Apr,182192.0
South,Jul,95681.0
West,Jul,215143.0
West,Nov,229057.0
Central,Mar,205333.0
East,Jan,223476.0
West,Apr,211360.0
East,Sep,196832.0
East,Dec,225874.0
South,Jun,121064.0
East,Jul,196234.0
East,May,213449.0
South,Sep,134477.0
West,Aug,196846.0
South,Oct,160927.0
Central,Jul,169782.0
Central,Jan,158119.0
East,Aug,209140.0
Central,Nov,155101.0
South,Feb,147006.0
West,Mar,214003.0
Central,Feb,175815.0
South,Dec,155083.0
East,Feb,204779.0
South,May,153721.0
West,Dec,268363.0
West,Sep,192149.0
West,May,196957.0
West,Feb,157855.0
