region,month_name,total_sales
South,Mar,206955.0
South,Jan,187504.0
East,Apr,316761.0
East,Nov,286275.0
Central,May,232498.0
East,Mar,291421.0
Central,Oct,217917.0
South,Nov,188825.0
Central,Apr,243321.0
South,Jul,132228.0
Central,Mar,257952.0
East,Jan,304468.0
West,Apr,318851.0
East,Sep,267260.0
South,Sep,183946.0
West,Aug,274696.0
Central,Nov,212019.0
South,Feb,179059.0
West,Mar,298972.0
South,Dec,201195.0
East,Feb,292433.0
West,Dec,376804.0
West,Sep,297558.0
Central,Sep,212162.0
South,Aug,182343.0
East,Jun,273165.0
West,Jan,331086.0
South,Apr,194649.0
Central,Dec,240211.0
West,Oct,303117.0
Central,Jun,216312.0
Central,Aug,252702.0
East,Oct,349588.0
West,Jun,305296.0
West,Jul,312161.0
West,Nov,322875.0
East,Dec,324849.0
South,Jun,175433.0
East,Jul,292431.0
East,May,302258.0
South,Oct,216412.0
Central,Jul,236437.0
Central,Jan,230214.0
East,Aug,273468.0
Central,Feb,240434.0
South,May,207790.0
West,May,296020.0
West,Feb,225112.0
