category,month,total_sales,total_profit
Furniture,Sep,251592.0,43481.0
Furniture,Oct,233162.0,42016.0
Furniture,Mar,276234.0,50570.0
Office Supplies,Feb,650066.0,115464.0
Technology,Jul,258076.0,44425.0
Office Supplies,Dec,726912.0,126496.0
Furniture,Aug,232924.0,42423.0
Office Supplies,Jul,655894.0,118691.0
Office Supplies,Jun,638988.0,116783.0
Technology,Sep,227256.0,40992.0
Technology,Dec,304279.0,54350.0
Technology,Jun,257382.0,47018.0
Office Supplies,Jan,729899.0,126893.0
Technology,Aug,233952.0,41222.0
Technology,Oct,285446.0,49252.0
Technology,Jan,249616.0,44438.0
Office Supplies,Mar,715972.0,121075.0
Office Supplies,Aug,650743.0,114464.0
Office Supplies,Sep,634769.0,112553.0
Office Supplies,Oct,717295.0,126169.0
Furniture,Nov,217123.0,37424.0
Office Supplies,Nov,670909.0,113874.0
Technology,May,234333.0,39937.0
Furniture,Feb,201834.0,37725.0
Office Supplies,Apr,678896.0,119314.0
Furniture,Jan,227378.0,39967.0
Furniture,Jun,215769.0,37592.0
Technology,Nov,266075.0,47698.0
Technology,Mar,208128.0,36046.0
Technology,Feb,215166.0,35207.0
Furniture,Apr,240567.0,42829.0
Technology,Apr,309625.0,52698.0
Furniture,Dec,266705.0,48476.0
Office Supplies,May,746424.0,133710.0
Furniture,Jul,215449.0,36707.0
Furniture,May,227271.0,41905.0
