category,month,total_sales,total_profit
Furniture,Sep,222867.0,37954.0
Furniture,Oct,208567.0,38467.0
Furniture,Mar,251823.0,46341.0
Office Supplies,Feb,590084.0,104858.0
Technology,Jul,218690.0,37566.0
Office Supplies,Dec,651314.0,112775.0
Furniture,Aug,217190.0,39688.0
Office Supplies,Jul,600085.0,109285.0
Office Supplies,Jun,566469.0,103627.0
Technology,Sep,199551.0,36353.0
Technology,Dec,276415.0,49596.0
Technology,Jun,234878.0,42984.0
Office Supplies,Jan,673228.0,116291.0
Technology,Aug,212615.0,37407.0
Technology,Oct,259082.0,44223.0
Technology,Jan,218693.0,39792.0
Office Supplies,Mar,642959.0,107844.0
Office Supplies,Aug,582086.0,102570.0
Office Supplies,Sep,577008.0,102596.0
Office Supplies,Oct,649441.0,114458.0
Furniture,Nov,202317.0,34933.0
Office Supplies,Nov,586961.0,99691.0
Technology,May,211750.0,35827.0
Furniture,Feb,168233.0,31421.0
Office Supplies,Apr,614713.0,107357.0
Furniture,Jan,199938.0,34890.0
Furniture,Jun,198597.0,34304.0
Technology,Nov,248295.0,44631.0
Technology,Mar,188777.0,32481.0
Technology,Feb,197435.0,32434.0
Furniture,Apr,216024.0,38499.0
Technology,Apr,278992.0,47804.0
Furniture,Dec,246772.0,45202.0
Office Supplies,May,654667.0,117001.0
Furniture,Jul,188323.0,33389.0
Furniture,May,203314.0,37784.0
