region,month_name,total_sales
South,Mar,217213.0
South,Jan,205807.0
East,Apr,339310.0
East,Nov,306597.0
Central,May,254490.0
East,Mar,313645.0
Central,Oct,242259.0
South,Nov,204721.0
Central,Apr,255287.0
South,Jul,142912.0
Central,Mar,280618.0
East,Jan,323252.0
West,Apr,347206.0
East,Sep,299924.0
South,Sep,197962.0
West,Aug,295476.0
Central,Nov,228339.0
South,Feb,194699.0
West,Mar,329837.0
South,Dec,221917.0
East,Feb,319141.0
West,Dec,407079.0
West,Sep,323100.0
Central,Sep,228917.0
South,Aug,196339.0
East,Jun,291713.0
West,Jan,358881.0
South,Apr,212702.0
Central,Dec,260327.0
West,Oct,329410.0
Central,Jun,236370.0
Central,Aug,270586.0
East,Oct,371426.0
West,Jun,329309.0
West,Jul,332413.0
West,Nov,340037.0
East,Dec,353383.0
South,Jun,195655.0
East,Jul,319963.0
East,May,333614.0
South,Oct,231959.0
Central,Jul,267771.0
Central,Jan,253181.0
East,Aug,298846.0
Central,Feb,252953.0
South,May,225362.0
West,May,326169.0
West,Feb,241813.0
