region,month_name,total_sales
South,Mar,221934.0
South,Jan,210504.0
East,Apr,353748.0
East,Nov,310927.0
Central,May,258859.0
East,Mar,318266.0
Central,Oct,249281.0
South,Nov,206730.0
Central,Apr,265274.0
South,Jul,149232.0
Central,Mar,285738.0
East,Jan,330964.0
West,Apr,355060.0
East,Sep,303973.0
South,Sep,200990.0
West,Aug,302129.0
Central,Nov,233794.0
South,Feb,198464.0
West,Mar,339713.0
South,Dec,224675.0
East,Feb,322291.0
West,Dec,412767.0
West,Sep,342317.0
Central,Sep,230296.0
South,Aug,199910.0
East,Jun,295768.0
West,Jan,374026.0
South,Apr,218794.0
Central,Dec,270162.0
West,Oct,339954.0
Central,Jun,240560.0
Central,Aug,276065.0
East,Oct,376296.0
West,Jun,336875.0
West,Jul,343204.0
West,Nov,344414.0
East,Dec,358893.0
South,Jun,200211.0
East,Jul,324256.0
East,May,341403.0
South,Oct,235423.0
Central,Jul,273066.0
Central,Jan,258724.0
East,Aug,308939.0
Central,Feb,265061.0
South,May,228381.0
West,May,336354.0
West,Feb,250151.0
