state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,84,1
Alabama,Binders,65,2
Alabama,Furnishings,47,3
Alabama,Accessories,35,4
Alabama,Chairs,31,5
Alabama,Storage,23,6
Alabama,Art,18,7
Alabama,Phones,16,8
Alabama,Tables,16,8
Alabama,Appliances,15,10
Alabama,Envelopes,15,10
Alabama,Labels,11,12
Alabama,Bookcases,10,13
Alabama,Fasteners,9,14
Alabama,Supplies,3,15
Arizona,Paper,291,1
Arizona,Binders,276,2
Arizona,Furnishings,250,3
Arizona,Phones,237,4
Arizona,Art,211,5
Arizona,Accessories,172,6
Arizona,Storage,162,7
Arizona,Labels,128,8
Arizona,Chairs,121,9
Arizona,Appliances,114,10
Arizona,Envelopes,79,11
Arizona,Tables,67,12
Arizona,Bookcases,66,13
Arizona,Machines,58,14
Arizona,Fasteners,39,15
Arizona,Supplies,37,16
Arizona,Copiers,11,17
Arkansas,Furnishings,50,1
Arkansas,Art,50,1
Arkansas,Phones,48,3
Arkansas,Paper,39,4
Arkansas,Binders,35,5
Arkansas,Storage,27,6
Arkansas,Labels,18,7
Arkansas,Fasteners,18,7
Arkansas,Appliances,16,9
Arkansas,Accessories,13,10
Arkansas,Chairs,13,10
Arkansas,Tables,12,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,2260,1
California,Binders,1782,2
California,Phones,1620,3
California,Furnishings,1561,4
California,Art,1516,5
California,Accessories,1348,6
California,Storage,1126,7
California,Appliances,931,8
California,Chairs,803,9
California,Labels,642,10
California,Machines,622,11
California,Tables,540,12
California,Envelopes,526,13
California,Bookcases,478,14
California,Supplies,394,15
California,Fasteners,318,16
California,Copiers,112,17
Colorado,Binders,299,1
Colorado,Paper,271,2
Colorado,Phones,222,3
Colorado,Furnishings,177,4
Colorado,Art,168,5
Colorado,Storage,153,6
Colorado,Accessories,133,7
Colorado,Appliances,103,8
Colorado,Chairs,95,9
Colorado,Machines,89,10
Colorado,Bookcases,80,11
Colorado,Envelopes,75,12
Colorado,Tables,71,13
Colorado,Labels,63,14
Colorado,Supplies,52,15
Colorado,Fasteners,42,16
Colorado,Copiers,10,17
Connecticut,Phones,73,1
Connecticut,Accessories,62,2
Connecticut,Furnishings,51,3
Connecticut,Paper,49,4
Connecticut,Art,47,5
Connecticut,Binders,45,6
Connecticut,Storage,34,7
Connecticut,Appliances,33,8
Connecticut,Labels,25,9
Connecticut,Machines,23,10
Connecticut,Fasteners,23,10
Connecticut,Chairs,21,12
Connecticut,Tables,17,13
Connecticut,Bookcases,17,13
Connecticut,Supplies,8,15
Connecticut,Envelopes,7,16
Connecticut,Copiers,2,17
Delaware,Storage,103,1
Delaware,Paper,93,2
Delaware,Furnishings,79,3
Delaware,Phones,53,4
Delaware,Appliances,50,5
Delaware,Accessories,48,6
Delaware,Chairs,45,7
Delaware,Binders,39,8
Delaware,Machines,38,9
Delaware,Art,36,10
Delaware,Supplies,22,11
Delaware,Envelopes,22,11
Delaware,Labels,16,13
Delaware,Bookcases,14,14
Delaware,Fasteners,12,15
Delaware,Tables,9,16
District of Columbia,Paper,35,1
District of Columbia,Binders,15,2
District of Columbia,Labels,10,3
District of Columbia,Furnishings,7,4
District of Columbia,Art,7,4
District of Columbia,Fasteners,7,4
District of Columbia,Phones,5,7
District of Columbia,Envelopes,3,8
District of Columbia,Chairs,3,8
District of Columbia,Appliances,2,10
Florida,Paper,484,1
Florida,Binders,421,2
Florida,Art,344,3
Florida,Phones,315,4
Florida,Furnishings,300,5
