category,month,total_sales,total_profit
Furniture,Sep,209293.0,35554.0
Furniture,Oct,200365.0,36952.0
Furniture,Mar,242987.0,44413.0
Office Supplies,Feb,564360.0,99567.0
Technology,Jul,208802.0,36118.0
Office Supplies,Dec,619309.0,107703.0
Furniture,Aug,198874.0,35923.0
Office Supplies,Jul,567292.0,103123.0
Office Supplies,Jun,542740.0,100004.0
Technology,Sep,188583.0,34258.0
Technology,Dec,265550.0,47598.0
Technology,Jun,221991.0,40735.0
Office Supplies,Jan,626475.0,107966.0
Technology,Aug,201550.0,35137.0
Technology,Oct,249890.0,42785.0
Technology,Jan,208188.0,37774.0
Office Supplies,Mar,604719.0,101669.0
Office Supplies,Aug,549857.0,96341.0
Office Supplies,Sep,537747.0,95242.0
Office Supplies,Oct,615631.0,108467.0
Furniture,Nov,190892.0,32688.0
Office Supplies,Nov,555420.0,94574.0
Technology,May,198997.0,33248.0
Furniture,Feb,162163.0,30416.0
Office Supplies,Apr,569380.0,99642.0
Furniture,Jan,189564.0,32931.0
Furniture,Jun,186475.0,32105.0
Technology,Nov,230461.0,40833.0
Technology,Mar,180877.0,30789.0
Technology,Feb,186604.0,30490.0
Furniture,Apr,209007.0,37410.0
Technology,Apr,259755.0,43749.0
Furniture,Dec,232227.0,43224.0
Office Supplies,May,622061.0,112034.0
Furniture,Jul,176892.0,31446.0
Furniture,May,193130.0,35778.0
