state,total_sales,total_customers
Alabama,66627.0,37
Arizona,338313.0,110
Arkansas,57876.0,7
California,2292277.0,667
Colorado,264510.0,76
Connecticut,83139.0,25
Delaware,86570.0,25
District of Columbia,6729.0,2
Florida,434774.0,113
Georgia,158603.0,76
Illinois,529907.0,176
Indiana,134344.0,42
Iowa,29334.0,17
Kansas,36327.0,4
Kentucky,291706.0,55
Louisiana,59927.0,26
Maryland,41327.0,15
Massachusetts,157756.0,53
Michigan,236394.0,62
Minnesota,195900.0,46
Mississippi,63908.0,19
Missouri,75959.0,27
Nebraska,5682.0,7
Nevada,25100.0,16
New Hampshire,27303.0,11
New Jersey,188706.0,49
New Mexico,8979.0,12
New York,1205428.0,368
North Carolina,347852.0,127
Ohio,563191.0,167
Oklahoma,45216.0,13
Oregon,37626.0,7
Pennsylvania,638722.0,197
Rhode Island,58870.0,15
South Dakota,4821.0,5
Tennessee,190931.0,60
Texas,1147523.0,344
Utah,82768.0,27
Virginia,247959.0,69
Washington,555253.0,180
Wisconsin,85551.0,33
