region,month_name,total_sales
South,Mar,180171.0
South,Jan,146627.0
East,Apr,249751.0
East,Nov,236358.0
Central,May,196626.0
East,Mar,245761.0
Central,Oct,180096.0
South,Nov,143263.0
Central,Apr,200351.0
South,Jul,106169.0
Central,Mar,219093.0
East,Jan,260344.0
West,Apr,251017.0
East,Sep,221097.0
South,Sep,153807.0
West,Aug,220577.0
Central,Nov,176772.0
South,Feb,156214.0
West,Mar,251911.0
South,Dec,171433.0
East,Feb,233807.0
West,Dec,292984.0
West,Sep,235161.0
Central,Sep,185364.0
South,Aug,148863.0
East,Jun,213464.0
West,Jan,264845.0
South,Apr,145614.0
Central,Dec,191904.0
West,Oct,252263.0
Central,Jun,179570.0
Central,Aug,196485.0
East,Oct,297200.0
West,Jun,257990.0
West,Jul,241942.0
West,Nov,251088.0
East,Dec,256036.0
South,Jun,135429.0
East,Jul,225427.0
East,May,246524.0
South,Oct,177727.0
Central,Jul,198616.0
Central,Jan,178704.0
East,Aug,236027.0
Central,Feb,194102.0
South,May,169191.0
West,May,232416.0
West,Feb,175106.0
