state,total_sales,total_customers
Alabama,69183.0,41
Arizona,342874.0,115
Arkansas,57876.0,7
California,2395911.0,749
Colorado,280133.0,85
Connecticut,84326.0,28
Delaware,98149.0,28
District of Columbia,7388.0,3
Florida,450263.0,127
Georgia,172172.0,88
Illinois,550002.0,188
Indiana,139733.0,48
Iowa,29661.0,18
Kansas,37564.0,5
Kentucky,293767.0,57
Louisiana,64546.0,30
Maryland,42519.0,16
Massachusetts,163131.0,58
Michigan,251720.0,72
Minnesota,205808.0,50
Mississippi,64728.0,20
Missouri,78027.0,30
Nebraska,6313.0,8
Nevada,25419.0,17
New Hampshire,27535.0,12
New Jersey,190919.0,52
New Mexico,11361.0,15
New York,1239194.0,401
North Carolina,376152.0,151
Ohio,584855.0,188
Oklahoma,46361.0,16
Oregon,39736.0,10
Pennsylvania,664796.0,222
Rhode Island,58870.0,15
South Dakota,4821.0,5
Tennessee,196571.0,65
Texas,1197988.0,380
Utah,83144.0,28
Virginia,252393.0,76
Washington,569980.0,196
Wisconsin,88526.0,37
