state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,161,1
Alabama,Binders,139,2
Alabama,Accessories,84,3
Alabama,Furnishings,79,4
Alabama,Storage,74,5
Alabama,Art,69,6
Alabama,Phones,55,7
Alabama,Chairs,53,8
Alabama,Envelopes,49,9
Alabama,Appliances,30,10
Alabama,Tables,30,10
Alabama,Labels,23,12
Alabama,Supplies,23,12
Alabama,Bookcases,21,14
Alabama,Fasteners,20,15
Alabama,Machines,11,16
Alabama,Copiers,8,17
Arizona,Paper,479,1
Arizona,Binders,414,2
Arizona,Furnishings,380,3
Arizona,Phones,316,4
Arizona,Art,295,5
Arizona,Accessories,269,6
Arizona,Storage,244,7
Arizona,Appliances,188,8
Arizona,Chairs,165,9
Arizona,Labels,154,10
Arizona,Machines,115,11
Arizona,Tables,114,12
Arizona,Envelopes,108,13
Arizona,Bookcases,100,14
Arizona,Supplies,56,15
Arizona,Fasteners,52,16
Arizona,Copiers,31,17
Arkansas,Furnishings,57,1
Arkansas,Phones,55,2
Arkansas,Art,50,3
Arkansas,Paper,44,4
Arkansas,Binders,38,5
Arkansas,Storage,27,6
Arkansas,Accessories,20,7
Arkansas,Labels,18,8
Arkansas,Fasteners,18,8
Arkansas,Appliances,16,10
Arkansas,Tables,15,11
Arkansas,Chairs,13,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,3466,1
California,Binders,2677,2
California,Phones,2370,3
California,Art,2230,4
California,Furnishings,2192,5
California,Accessories,1902,6
California,Storage,1681,7
California,Appliances,1359,8
California,Chairs,1121,9
California,Machines,974,10
California,Labels,965,11
California,Envelopes,720,12
California,Tables,704,13
California,Bookcases,702,14
California,Supplies,552,15
California,Fasteners,498,16
California,Copiers,166,17
Colorado,Paper,446,1
Colorado,Binders,425,2
Colorado,Furnishings,311,3
Colorado,Phones,289,4
Colorado,Art,286,5
Colorado,Storage,240,6
Colorado,Accessories,220,7
Colorado,Appliances,157,8
Colorado,Chairs,140,9
Colorado,Machines,133,10
Colorado,Labels,115,11
Colorado,Bookcases,99,12
Colorado,Envelopes,95,13
Colorado,Tables,94,14
Colorado,Supplies,94,14
Colorado,Fasteners,46,16
Colorado,Copiers,10,17
Connecticut,Binders,97,1
Connecticut,Furnishings,91,2
Connecticut,Phones,79,3
Connecticut,Paper,76,4
Connecticut,Art,72,5
Connecticut,Accessories,68,6
Connecticut,Appliances,50,7
Connecticut,Storage,50,7
Connecticut,Labels,44,9
Connecticut,Chairs,27,10
Connecticut,Machines,27,10
Connecticut,Fasteners,23,12
Connecticut,Bookcases,22,13
Connecticut,Tables,19,14
Connecticut,Envelopes,16,15
Connecticut,Supplies,10,16
Connecticut,Copiers,2,17
Delaware,Furnishings,148,1
Delaware,Storage,142,2
Delaware,Paper,111,3
Delaware,Accessories,84,4
Delaware,Phones,70,5
Delaware,Binders,66,6
Delaware,Chairs,61,7
Delaware,Machines,56,8
Delaware,Appliances,52,9
Delaware,Art,49,10
Delaware,Bookcases,34,11
Delaware,Labels,32,12
Delaware,Supplies,28,13
Delaware,Envelopes,27,14
Delaware,Fasteners,16,15
Delaware,Tables,14,16
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Art,7,5
District of Columbia,Fasteners,7,5
District of Columbia,Phones,5,7
District of Columbia,Envelopes,3,8
District of Columbia,Chairs,3,8
District of Columbia,Appliances,2,10
District of Columbia,Accessories,2,10
Florida,Paper,744,1
Florida,Binders,555,2
Florida,Art,451,3
Florida,Phones,432,4
Florida,Furnishings,400,5
Florida,Accessories,362,6
Florida,Storage,304,7
Florida,Chairs,233,8
Florida,Appliances,229,9
Florida,Labels,197,10
Florida,Tables,169,11
Florida,Machines,137,12
Florida,Fasteners,115,13
Florida,Envelopes,109,14
Florida,Supplies,86,15
Florida,Bookcases,85,16
Florida,Copiers,25,17
Georgia,Paper,295,1
Georgia,Binders,266,2
Georgia,Phones,259,3
Georgia,Furnishings,221,4
Georgia,Art,155,5
Georgia,Appliances,146,6
Georgia,Chairs,116,7
Georgia,Storage,115,8
Georgia,Accessories,94,9
Georgia,Tables,86,10
Georgia,Bookcases,84,11
Georgia,Labels,65,12
Georgia,Machines,64,13
Georgia,Envelopes,38,14
Georgia,Supplies,38,14
Georgia,Fasteners,30,16
Georgia,Copiers,9,17
Illinois,Paper,829,1
Illinois,Binders,649,2
Illinois,Furnishings,621,3
Illinois,Phones,582,4
Illinois,Accessories,412,5
Illinois,Storage,407,6
Illinois,Art,403,7
Illinois,Chairs,346,8
Illinois,Appliances,338,9
Illinois,Machines,233,10
Illinois,Labels,191,11
Illinois,Envelopes,173,12
Illinois,Tables,163,13
Illinois,Bookcases,153,14
Illinois,Fasteners,116,15
Illinois,Supplies,114,16
Illinois,Copiers,34,17
Indiana,Paper,194,1
Indiana,Binders,170,2
Indiana,Furnishings,128,3
Indiana,Accessories,126,4
Indiana,Phones,122,5
Indiana,Art,118,6
Indiana,Storage,89,7
Indiana,Appliances,72,8
Indiana,Chairs,63,9
Indiana,Labels,58,10
Indiana,Bookcases,46,11
Indiana,Supplies,35,12
Indiana,Machines,33,13
Indiana,Envelopes,29,14
Indiana,Tables,20,15
Indiana,Fasteners,18,16
Indiana,Copiers,10,17
Iowa,Accessories,56,1
Iowa,Phones,46,2
Iowa,Paper,42,3
Iowa,Chairs,36,4
Iowa,Furnishings,27,5
Iowa,Machines,25,6
Iowa,Storage,24,7
Iowa,Art,22,8
Iowa,Binders,20,9
Iowa,Appliances,7,10
Iowa,Labels,6,11
Iowa,Tables,5,12
Iowa,Fasteners,5,12
Iowa,Supplies,3,14
Iowa,Envelopes,2,15
Kansas,Paper,78,1
Kansas,Art,61,2
Kansas,Chairs,44,3
Kansas,Phones,34,4
Kansas,Accessories,26,5
Kansas,Binders,23,6
Kansas,Fasteners,23,6
Kansas,Furnishings,20,8
Kansas,Appliances,17,9
Kansas,Labels,14,10
Kansas,Tables,14,10
Kansas,Machines,12,12
Kansas,Storage,12,12
Kansas,Supplies,9,14
Kansas,Bookcases,8,15
Kansas,Copiers,2,16
Kentucky,Paper,374,1
Kentucky,Phones,236,2
Kentucky,Art,226,3
Kentucky,Binders,226,3
Kentucky,Furnishings,216,5
Kentucky,Appliances,183,6
Kentucky,Storage,148,7
Kentucky,Accessories,145,8
Kentucky,Chairs,123,9
