category,month,total_sales,total_profit
Furniture,Sep,252268.0,43566.0
Furniture,Oct,234623.0,42285.0
Furniture,Mar,276570.0,50665.0
Office Supplies,Feb,652258.0,115786.0
Technology,Jul,259453.0,44740.0
Office Supplies,Dec,730193.0,126929.0
Furniture,Aug,234185.0,42648.0
Office Supplies,Jul,668328.0,121119.0
Office Supplies,Jun,642143.0,117322.0
Technology,Sep,227872.0,41151.0
Technology,Dec,304585.0,54394.0
Technology,Jun,259226.0,47464.0
Office Supplies,Jan,751549.0,130496.0
Technology,Aug,234739.0,41347.0
Technology,Oct,288821.0,49846.0
Technology,Jan,249878.0,44502.0
Office Supplies,Mar,719465.0,121614.0
Office Supplies,Aug,652657.0,114842.0
Office Supplies,Sep,637008.0,112982.0
Office Supplies,Oct,722683.0,127093.0
Furniture,Nov,218397.0,37626.0
Office Supplies,Nov,673620.0,114410.0
Technology,May,235061.0,40088.0
Furniture,Feb,202322.0,37803.0
Office Supplies,Apr,682544.0,119916.0
Furniture,Jan,229284.0,40327.0
Furniture,Jun,216519.0,37735.0
Technology,Nov,266339.0,47736.0
Technology,Mar,208723.0,36130.0
Technology,Feb,215923.0,35321.0
Furniture,Apr,242336.0,43063.0
Technology,Apr,310155.0,52763.0
Furniture,Dec,271486.0,49454.0
Office Supplies,May,748338.0,134006.0
Furniture,Jul,215736.0,36776.0
Furniture,May,229837.0,42208.0
