category,month,total_sales,total_profit
Furniture,Sep,188513.0,31544.0
Furniture,Oct,179922.0,33316.0
Furniture,Mar,217011.0,39935.0
Office Supplies,Feb,510925.0,90355.0
Technology,Jul,188390.0,33126.0
Office Supplies,Dec,562236.0,97549.0
Furniture,Aug,176055.0,31599.0
Office Supplies,Jul,509789.0,94128.0
Office Supplies,Jun,484263.0,89156.0
Technology,Sep,162849.0,29141.0
Technology,Dec,222960.0,39432.0
Technology,Jun,203157.0,36881.0
Office Supplies,Jan,558481.0,96854.0
Technology,Aug,188780.0,33007.0
Technology,Oct,233033.0,39954.0
Technology,Jan,186571.0,34094.0
Office Supplies,Mar,554526.0,93782.0
Office Supplies,Aug,493492.0,87713.0
Office Supplies,Sep,491776.0,87251.0
Office Supplies,Oct,549125.0,97367.0
Furniture,Nov,173374.0,29392.0
Office Supplies,Nov,501306.0,86225.0
Technology,May,178672.0,29866.0
Furniture,Feb,146345.0,27271.0
Office Supplies,Apr,491449.0,87285.0
Furniture,Jan,173214.0,30124.0
Furniture,Jun,164956.0,27298.0
Technology,Nov,203923.0,35581.0
Technology,Mar,165841.0,28040.0
Technology,Feb,160031.0,27092.0
Furniture,Apr,194718.0,34650.0
Technology,Apr,223605.0,38013.0
Furniture,Dec,179230.0,31966.0
Office Supplies,May,556696.0,99716.0
Furniture,Jul,154904.0,27215.0
Furniture,May,171619.0,31795.0
