segment,month_name,total_sales,total_profit
Corporate,Oct,365950.0,63591.0
Home Office,Jul,228628.0,42274.0
Consumer,Jul,544435.0,95388.0
Corporate,Mar,314050.0,53431.0
Consumer,Nov,519464.0,88915.0
Home Office,Aug,195746.0,35440.0
Consumer,Aug,566310.0,101185.0
Corporate,Aug,320601.0,55244.0
Home Office,Apr,208930.0,36366.0
Consumer,Jun,539668.0,97180.0
Consumer,May,600486.0,106511.0
Home Office,Sep,186760.0,32764.0
Corporate,Jul,310372.0,55511.0
Corporate,Dec,399260.0,68976.0
Corporate,May,349613.0,62166.0
Corporate,Apr,364886.0,62685.0
Home Office,May,211746.0,38744.0
Home Office,Jan,204568.0,37788.0
Home Office,Jun,185493.0,34255.0
Consumer,Sep,564696.0,100152.0
Home Office,Mar,228726.0,38042.0
Consumer,Apr,613892.0,108081.0
Home Office,Nov,201614.0,35414.0
Home Office,Oct,225358.0,39857.0
Consumer,Dec,641496.0,115868.0
Corporate,Nov,373650.0,64278.0
Corporate,Sep,323015.0,57799.0
Corporate,Feb,326194.0,53930.0
Home Office,Feb,180213.0,32645.0
Consumer,Mar,619578.0,109745.0
Consumer,Oct,602637.0,106218.0
Corporate,Jan,426427.0,71862.0
Consumer,Jan,540477.0,95005.0
Corporate,Jun,345821.0,62647.0
Home Office,Dec,222304.0,38083.0
Consumer,Feb,519455.0,94795.0
