segment,month_name,total_sales,total_profit
Corporate,Oct,420831.0,72242.0
Home Office,Jul,259943.0,47068.0
Consumer,Jul,622255.0,109264.0
Corporate,Mar,346824.0,57880.0
Consumer,Nov,603321.0,103954.0
Home Office,Aug,210871.0,38118.0
Consumer,Aug,624971.0,111190.0
Corporate,Aug,345814.0,59505.0
Home Office,Apr,227442.0,39877.0
Consumer,Jun,599727.0,108013.0
Consumer,May,665589.0,117770.0
Home Office,Sep,210975.0,37430.0
Corporate,Jul,343522.0,60725.0
Corporate,Dec,426052.0,73710.0
Corporate,May,375597.0,66927.0
Corporate,Apr,411180.0,70126.0
Home Office,May,230401.0,42353.0
Home Office,Jan,221914.0,40677.0
Home Office,Jun,208308.0,37875.0
Consumer,Sep,625219.0,110786.0
Home Office,Mar,248749.0,41765.0
Consumer,Apr,674492.0,119272.0
Home Office,Nov,222905.0,39158.0
Home Office,Oct,243887.0,43155.0
Consumer,Dec,715593.0,129729.0
Corporate,Nov,400588.0,69038.0
Corporate,Sep,351227.0,62535.0
Corporate,Feb,386663.0,66372.0
Home Office,Feb,198575.0,36138.0
Consumer,Mar,688235.0,122181.0
Consumer,Oct,657760.0,115494.0
Corporate,Jan,467281.0,79995.0
Consumer,Jan,610951.0,106042.0
Corporate,Jun,377585.0,67697.0
Home Office,Dec,238476.0,40941.0
Consumer,Feb,581639.0,104182.0
