segment,month_name,total_sales,total_profit
Corporate,Oct,433243.0,74677.0
Home Office,Jul,273259.0,49498.0
Consumer,Jul,655454.0,114071.0
Corporate,Mar,356679.0,59613.0
Consumer,Nov,624724.0,108003.0
Home Office,Aug,215368.0,38912.0
Consumer,Aug,649966.0,115685.0
Corporate,Aug,357729.0,61862.0
Home Office,Apr,235545.0,41337.0
Consumer,Jun,648010.0,115438.0
Consumer,May,684386.0,120842.0
Home Office,Sep,216339.0,38458.0
Corporate,Jul,354227.0,62606.0
Corporate,Dec,449235.0,77839.0
Corporate,May,388224.0,69277.0
Corporate,Apr,418575.0,71486.0
Home Office,May,234902.0,43123.0
Home Office,Jan,228711.0,41761.0
Home Office,Jun,213702.0,38748.0
Consumer,Sep,639095.0,113227.0
Home Office,Mar,254662.0,42856.0
Consumer,Apr,695657.0,123040.0
Home Office,Nov,230249.0,40569.0
Home Office,Oct,252629.0,44734.0
Consumer,Dec,730276.0,132391.0
Corporate,Nov,408080.0,70582.0
Corporate,Sep,382096.0,66340.0
Corporate,Feb,399848.0,68644.0
Home Office,Feb,204861.0,37498.0
Consumer,Mar,711953.0,126713.0
Consumer,Oct,687826.0,120086.0
Corporate,Jan,488182.0,84707.0
Consumer,Jan,628061.0,109140.0
Corporate,Jun,385297.0,69251.0
Home Office,Dec,247062.0,42678.0
Consumer,Feb,605061.0,107933.0
