category,month,total_sales,total_profit
Furniture,Sep,213268.0,36274.0
Furniture,Oct,201310.0,37151.0
Furniture,Mar,244454.0,44714.0
Office Supplies,Feb,569880.0,100605.0
Technology,Jul,209975.0,36276.0
Office Supplies,Dec,628326.0,109249.0
Furniture,Aug,206831.0,37611.0
Office Supplies,Jul,573272.0,104191.0
Office Supplies,Jun,546560.0,100724.0
Technology,Sep,192572.0,35094.0
Technology,Dec,267239.0,47909.0
Technology,Jun,225820.0,41313.0
Office Supplies,Jan,637963.0,110027.0
Technology,Aug,203749.0,35541.0
Technology,Oct,251137.0,43017.0
Technology,Jan,210102.0,38181.0
Office Supplies,Mar,613219.0,102574.0
Office Supplies,Aug,559921.0,98447.0
Office Supplies,Sep,543985.0,96076.0
Office Supplies,Oct,625715.0,110219.0
Furniture,Nov,193436.0,33215.0
Office Supplies,Nov,563855.0,95896.0
Technology,May,201291.0,33473.0
Furniture,Feb,164104.0,30795.0
Office Supplies,Apr,578025.0,100649.0
Furniture,Jan,192405.0,33501.0
Furniture,Jun,188386.0,32405.0
Technology,Nov,233160.0,41421.0
Technology,Mar,182533.0,31169.0
Technology,Feb,191042.0,31348.0
Furniture,Apr,210417.0,37611.0
Technology,Apr,271439.0,46549.0
Furniture,Dec,239759.0,44034.0
Office Supplies,May,633059.0,113730.0
Furniture,Jul,180597.0,32083.0
Furniture,May,194254.0,36028.0
