state,total_sales,total_customers
Alabama,45221.0,8
Arizona,249764.0,32
Arkansas,53913.0,3
California,1839526.0,255
Colorado,226795.0,35
Connecticut,72155.0,9
Delaware,68683.0,7
District of Columbia,5512.0,1
Florida,366172.0,47
Georgia,112271.0,16
Illinois,414491.0,62
Indiana,114631.0,16
Iowa,13082.0,4
Kansas,36327.0,4
Kentucky,244612.0,28
Louisiana,45128.0,9
Maryland,20461.0,2
Massachusetts,115784.0,16
Michigan,190666.0,24
Minnesota,157497.0,17
Mississippi,56443.0,7
Missouri,58008.0,12
Nebraska,520.0,1
Nevada,13159.0,6
New Hampshire,23468.0,4
New Jersey,163724.0,22
New Mexico,759.0,2
New York,944275.0,136
North Carolina,257698.0,38
Ohio,471525.0,73
Oklahoma,36129.0,4
Oregon,34607.0,3
Pennsylvania,503582.0,69
Rhode Island,48370.0,4
Tennessee,144749.0,19
Texas,921673.0,104
Utah,55675.0,9
Virginia,208465.0,31
Washington,419768.0,61
Wisconsin,51006.0,10
