region,month_name,total_sales
South,Mar,151654.0
Central,Sep,150969.0
South,Aug,131819.0
South,Jan,133976.0
East,Jun,172520.0
West,Jan,228326.0
South,Apr,114206.0
East,Apr,206309.0
East,Nov,207077.0
Central,Dec,161859.0
West,Oct,221153.0
Central,May,176881.0
Central,Jun,153697.0
East,Mar,199976.0
Central,Aug,160314.0
East,Oct,251894.0
Central,Oct,162014.0
South,Nov,132690.0
West,Jun,193856.0
Central,Apr,169601.0
South,Jul,95553.0
West,Jul,209470.0
West,Nov,223244.0
Central,Mar,202716.0
East,Jan,220319.0
West,Apr,209547.0
East,Sep,183915.0
East,Dec,219859.0
South,Jun,119680.0
East,Jul,184155.0
East,May,201096.0
South,Sep,132404.0
West,Aug,190204.0
South,Oct,155892.0
Central,Jul,165547.0
Central,Jan,155145.0
East,Aug,205445.0
Central,Nov,153658.0
South,Feb,145713.0
West,Mar,209052.0
Central,Feb,163374.0
South,Dec,144778.0
East,Feb,201451.0
South,May,152524.0
West,Dec,264660.0
West,Sep,187205.0
West,May,192086.0
West,Feb,154520.0
