segment,month_name,total_sales,total_profit
Corporate,Oct,309075.0,54072.0
Home Office,Jul,189056.0,34856.0
Consumer,Jul,439435.0,78423.0
Corporate,Mar,269978.0,45495.0
Consumer,Nov,416910.0,72957.0
Home Office,Aug,153423.0,26971.0
Consumer,Aug,463029.0,83613.0
Corporate,Aug,267715.0,46127.0
Home Office,Apr,165578.0,29888.0
Consumer,Jun,445932.0,79564.0
Consumer,May,484441.0,86705.0
Home Office,Sep,138871.0,24542.0
Corporate,Jul,251260.0,45792.0
Corporate,Dec,327775.0,57092.0
Corporate,May,298342.0,52234.0
Corporate,Apr,297063.0,50794.0
Home Office,May,161733.0,29366.0
Home Office,Jan,167506.0,30852.0
Home Office,Jun,150095.0,28036.0
Consumer,Sep,477297.0,83398.0
Home Office,Mar,178033.0,28727.0
Consumer,Apr,490311.0,86548.0
Home Office,Nov,166185.0,28989.0
Home Office,Oct,184952.0,32386.0
Consumer,Dec,510521.0,91609.0
Corporate,Nov,316951.0,52924.0
Corporate,Sep,266746.0,47419.0
Corporate,Feb,274716.0,44813.0
Home Office,Feb,142527.0,25504.0
Consumer,Mar,511269.0,91276.0
Consumer,Oct,503264.0,90747.0
Corporate,Jan,344827.0,57775.0
Consumer,Jan,447292.0,79082.0
Corporate,Jun,298614.0,54241.0
Home Office,Dec,173832.0,28614.0
Consumer,Feb,425134.0,78386.0
