category,month,total_sales,total_profit
Furniture,Sep,215851.0,36806.0
Furniture,Oct,204557.0,37779.0
Furniture,Mar,246281.0,45069.0
Office Supplies,Feb,577966.0,102341.0
Technology,Jul,212154.0,36612.0
Office Supplies,Dec,634472.0,110377.0
Furniture,Aug,210689.0,38320.0
Office Supplies,Jul,579121.0,105343.0
Office Supplies,Jun,553782.0,101793.0
Technology,Sep,195364.0,35609.0
Technology,Dec,269210.0,48265.0
Technology,Jun,230070.0,42348.0
Office Supplies,Jan,649273.0,112150.0
Technology,Aug,205077.0,35767.0
Technology,Oct,253570.0,43337.0
Technology,Jan,212149.0,38578.0
Office Supplies,Mar,627405.0,105134.0
Office Supplies,Aug,569483.0,100439.0
Office Supplies,Sep,559201.0,98639.0
Office Supplies,Oct,630674.0,111196.0
Furniture,Nov,195020.0,33464.0
Office Supplies,Nov,575970.0,97741.0
Technology,May,203234.0,33786.0
Furniture,Feb,166293.0,31096.0
Office Supplies,Apr,587702.0,102291.0
Furniture,Jan,194202.0,33802.0
Furniture,Jun,191381.0,33020.0
Technology,Nov,240817.0,42910.0
Technology,Mar,183285.0,31288.0
Technology,Feb,194206.0,31819.0
Furniture,Apr,212797.0,37851.0
Technology,Apr,274200.0,46961.0
Furniture,Dec,241673.0,44431.0
Office Supplies,May,639440.0,114803.0
Furniture,Jul,182490.0,32391.0
Furniture,May,197369.0,36648.0
