category,month,total_sales,total_profit
Furniture,Sep,203622.0,34425.0
Furniture,Oct,196490.0,36059.0
Furniture,Mar,240628.0,43954.0
Office Supplies,Feb,547233.0,96534.0
Technology,Jul,202652.0,35440.0
Office Supplies,Dec,613787.0,106823.0
Furniture,Aug,196136.0,35537.0
Office Supplies,Jul,552607.0,100645.0
Office Supplies,Jun,537734.0,99242.0
Technology,Sep,186191.0,33786.0
Technology,Dec,264041.0,47310.0
Technology,Jun,217940.0,39948.0
Office Supplies,Jan,620499.0,106926.0
Technology,Aug,199997.0,34877.0
Technology,Oct,246725.0,42273.0
Technology,Jan,205780.0,37331.0
Office Supplies,Mar,595524.0,100179.0
Office Supplies,Aug,537307.0,94827.0
Office Supplies,Sep,533710.0,94647.0
Office Supplies,Oct,610699.0,107649.0
Furniture,Nov,187366.0,32027.0
Office Supplies,Nov,534474.0,91909.0
Technology,May,197350.0,32954.0
Furniture,Feb,160235.0,29929.0
Office Supplies,Apr,545817.0,96142.0
Furniture,Jan,185902.0,32290.0
Furniture,Jun,185113.0,31878.0
Technology,Nov,229265.0,40586.0
Technology,Mar,179220.0,30502.0
Technology,Feb,174400.0,29457.0
Furniture,Apr,208238.0,37273.0
Technology,Apr,255626.0,43302.0
Furniture,Dec,229588.0,42727.0
Office Supplies,May,612069.0,110436.0
Furniture,Jul,176141.0,31374.0
Furniture,May,191105.0,35297.0
