region,month_name,total_sales
South,Mar,153466.0
Central,Sep,152779.0
South,Aug,132060.0
South,Jan,135358.0
East,Jun,176777.0
West,Jan,231808.0
South,Apr,114908.0
East,Apr,208850.0
East,Nov,209833.0
Central,Dec,163227.0
West,Oct,224935.0
Central,May,177985.0
Central,Jun,156210.0
East,Mar,203210.0
Central,Aug,164592.0
East,Oct,253992.0
Central,Oct,163760.0
South,Nov,133336.0
West,Jun,201849.0
Central,Apr,182009.0
South,Jul,95681.0
West,Jul,212804.0
West,Nov,226513.0
Central,Mar,204361.0
East,Jan,222289.0
West,Apr,210338.0
East,Sep,196832.0
East,Dec,223621.0
South,Jun,119865.0
East,Jul,194702.0
East,May,212929.0
South,Sep,134477.0
West,Aug,195373.0
South,Oct,159028.0
Central,Jul,168755.0
Central,Jan,157281.0
East,Aug,208145.0
Central,Nov,154692.0
South,Feb,147006.0
West,Mar,214003.0
Central,Feb,163878.0
South,Dec,154682.0
East,Feb,204315.0
South,May,153343.0
West,Dec,266851.0
West,Sep,190295.0
West,May,196416.0
West,Feb,156218.0
