region,month_name,total_sales
South,Mar,231603.0
South,Jan,214731.0
East,Apr,370210.0
East,Nov,327532.0
Central,May,268768.0
East,Mar,336509.0
Central,Oct,261161.0
South,Nov,225191.0
Central,Apr,279326.0
South,Jul,158489.0
Central,Mar,297210.0
East,Jan,351290.0
West,Apr,364803.0
East,Sep,315835.0
South,Sep,205156.0
West,Aug,310297.0
Central,Nov,251694.0
South,Feb,208819.0
West,Mar,346431.0
South,Dec,233030.0
East,Feb,330627.0
West,Dec,421778.0
West,Sep,354013.0
Central,Sep,243698.0
South,Aug,204788.0
East,Jun,310295.0
West,Jan,385802.0
South,Apr,223292.0
Central,Dec,284325.0
West,Oct,349094.0
Central,Jun,253646.0
Central,Aug,288731.0
East,Oct,388816.0
West,Jun,347345.0
West,Jul,352100.0
West,Nov,357342.0
East,Dec,369665.0
South,Jun,207958.0
East,Jul,353388.0
East,May,353220.0
South,Oct,249000.0
Central,Jul,284156.0
Central,Jan,280318.0
East,Aug,319072.0
Central,Feb,274924.0
South,May,242776.0
West,May,350400.0
West,Feb,259753.0
