region,month_name,total_sales
South,Mar,214264.0
South,Jan,198209.0
East,Apr,329475.0
East,Nov,297000.0
Central,May,249226.0
East,Mar,306256.0
Central,Oct,227265.0
South,Nov,199434.0
Central,Apr,250580.0
South,Jul,138479.0
Central,Mar,265874.0
East,Jan,314989.0
West,Apr,335224.0
East,Sep,289734.0
South,Sep,196076.0
West,Aug,285584.0
Central,Nov,220299.0
South,Feb,184156.0
West,Mar,313592.0
South,Dec,209469.0
East,Feb,304061.0
West,Dec,392800.0
West,Sep,312548.0
Central,Sep,220364.0
South,Aug,186280.0
East,Jun,284087.0
West,Jan,344410.0
South,Apr,206423.0
Central,Dec,253925.0
West,Oct,319533.0
Central,Jun,226302.0
Central,Aug,263124.0
East,Oct,364031.0
West,Jun,320085.0
West,Jul,323865.0
West,Nov,330975.0
East,Dec,339244.0
South,Jun,182402.0
East,Jul,311076.0
East,May,317722.0
South,Oct,228215.0
Central,Jul,259573.0
Central,Jan,247353.0
East,Aug,291048.0
Central,Feb,248230.0
South,May,216082.0
West,May,318613.0
West,Feb,233042.0
