region,month_name,total_sales
South,Mar,190429.0
South,Jan,176038.0
East,Apr,286705.0
East,Nov,256450.0
Central,May,209882.0
East,Mar,266595.0
Central,Oct,198988.0
South,Nov,173439.0
Central,Apr,214910.0
South,Jul,117807.0
Central,Mar,231064.0
East,Jan,279447.0
West,Apr,290178.0
East,Sep,241574.0
South,Sep,170421.0
West,Aug,242310.0
Central,Nov,192931.0
South,Feb,168729.0
West,Mar,271192.0
South,Dec,186214.0
East,Feb,258932.0
West,Dec,334670.0
West,Sep,274222.0
Central,Sep,196697.0
South,Aug,167134.0
East,Jun,251589.0
West,Jan,300359.0
South,Apr,161159.0
Central,Dec,206376.0
West,Oct,275781.0
Central,Jun,203023.0
Central,Aug,216267.0
East,Oct,320491.0
West,Jun,283312.0
West,Jul,283243.0
West,Nov,277226.0
East,Dec,284868.0
South,Jun,156717.0
East,Jul,262764.0
East,May,269327.0
South,Oct,202031.0
Central,Jul,215937.0
Central,Jan,203781.0
East,Aug,258456.0
Central,Feb,221760.0
South,May,192459.0
West,May,272848.0
West,Feb,192956.0
