category,month,total_sales,total_profit
Furniture,Sep,165255.0,27335.0
Furniture,Oct,155274.0,29075.0
Furniture,Mar,190637.0,35355.0
Office Supplies,Feb,428309.0,75235.0
Technology,Jul,155903.0,27595.0
Office Supplies,Dec,481472.0,83393.0
Furniture,Aug,150992.0,27104.0
Office Supplies,Jul,400323.0,73878.0
Office Supplies,Jun,378178.0,68591.0
Technology,Sep,132381.0,24056.0
Technology,Dec,178295.0,30956.0
Technology,Jun,174558.0,31997.0
Office Supplies,Jan,445946.0,78506.0
Technology,Aug,152244.0,26297.0
Technology,Oct,193687.0,31814.0
Technology,Jan,157854.0,29161.0
Office Supplies,Mar,449839.0,74635.0
Office Supplies,Aug,403019.0,72355.0
Office Supplies,Sep,391266.0,68111.0
Office Supplies,Oct,459283.0,79962.0
Furniture,Nov,149542.0,25098.0
Office Supplies,Nov,404556.0,67725.0
Technology,May,151978.0,25224.0
Furniture,Feb,123490.0,23323.0
Office Supplies,Apr,393167.0,68195.0
Furniture,Jan,146738.0,25666.0
Furniture,Jun,111902.0,19228.0
Technology,Nov,176326.0,30553.0
Technology,Mar,138387.0,23783.0
Technology,Feb,135000.0,22613.0
Furniture,Apr,156649.0,27480.0
Technology,Apr,176894.0,29666.0
Furniture,Dec,154731.0,27896.0
Office Supplies,May,444812.0,79472.0
Furniture,Jul,122893.0,21605.0
Furniture,May,147903.0,27825.0
