state,total_sales,total_customers
Alabama,54766.0,22
Arizona,313326.0,76
Arkansas,55819.0,6
California,2123093.0,478
Colorado,247290.0,56
Connecticut,80279.0,19
Delaware,79057.0,17
District of Columbia,6729.0,2
Florida,395589.0,79
Georgia,143379.0,56
Illinois,466828.0,122
Indiana,125119.0,31
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,266427.0,40
Louisiana,57727.0,24
Maryland,37557.0,10
Massachusetts,129280.0,31
Michigan,215442.0,45
Minnesota,170751.0,29
Mississippi,60117.0,12
Missouri,67416.0,21
Nebraska,1886.0,3
Nevada,16288.0,11
New Hampshire,25839.0,8
New Jersey,176563.0,38
New Mexico,5662.0,8
New York,1076636.0,262
North Carolina,306879.0,86
Ohio,528809.0,124
Oklahoma,40550.0,9
Oregon,35846.0,5
Pennsylvania,583324.0,140
Rhode Island,56628.0,11
South Dakota,2397.0,4
Tennessee,169406.0,44
Texas,1041863.0,231
Utah,64050.0,18
Virginia,230989.0,50
Washington,492830.0,131
Wisconsin,71084.0,25
