segment,month_name,total_sales,total_profit
Corporate,Oct,308748.0,54049.0
Home Office,Jul,189056.0,34856.0
Consumer,Jul,438615.0,78307.0
Corporate,Mar,268917.0,45327.0
Consumer,Nov,414831.0,72523.0
Home Office,Aug,152499.0,26824.0
Consumer,Aug,462625.0,83509.0
Corporate,Aug,266545.0,45872.0
Home Office,Apr,163860.0,29546.0
Consumer,Jun,443191.0,79277.0
Consumer,May,478808.0,85819.0
Home Office,Sep,137137.0,24088.0
Corporate,Jul,250443.0,45662.0
Corporate,Dec,327445.0,57059.0
Corporate,May,298342.0,52234.0
Corporate,Apr,297063.0,50794.0
Home Office,May,160323.0,29138.0
Home Office,Jan,166774.0,30695.0
Home Office,Jun,150095.0,28036.0
Consumer,Sep,474689.0,83009.0
Home Office,Mar,177693.0,28693.0
Consumer,Apr,487817.0,86070.0
Home Office,Nov,165835.0,28943.0
Home Office,Oct,184657.0,32316.0
Consumer,Dec,509847.0,91483.0
Corporate,Nov,316687.0,52890.0
Corporate,Sep,266241.0,47317.0
Corporate,Feb,274314.0,44728.0
Home Office,Feb,142343.0,25473.0
Consumer,Mar,506862.0,90659.0
Consumer,Oct,495326.0,89053.0
Corporate,Jan,342951.0,57539.0
Consumer,Jan,446036.0,78786.0
Corporate,Jun,298044.0,54094.0
Home Office,Dec,173363.0,28559.0
Consumer,Feb,423038.0,77958.0
