region,month_name,total_sales
South,Mar,184984.0
South,Jan,164877.0
East,Apr,261850.0
East,Nov,246313.0
Central,May,203122.0
East,Mar,254081.0
Central,Oct,188221.0
South,Nov,157869.0
Central,Apr,207875.0
South,Jul,110754.0
Central,Mar,226159.0
East,Jan,268590.0
West,Apr,271361.0
East,Sep,227849.0
South,Sep,161042.0
West,Aug,229085.0
Central,Nov,185835.0
South,Feb,161773.0
West,Mar,259244.0
South,Dec,180078.0
East,Feb,243103.0
West,Dec,306455.0
West,Sep,246669.0
Central,Sep,191483.0
South,Aug,155080.0
East,Jun,232677.0
West,Jan,276186.0
South,Apr,151335.0
Central,Dec,197221.0
West,Oct,259138.0
Central,Jun,186047.0
Central,Aug,205898.0
East,Oct,307233.0
West,Jun,265786.0
West,Jul,268025.0
West,Nov,264340.0
East,Dec,262909.0
South,Jun,146823.0
East,Jul,242232.0
East,May,256146.0
South,Oct,191351.0
Central,Jul,204211.0
Central,Jan,191529.0
East,Aug,243357.0
Central,Feb,213497.0
South,May,179463.0
West,May,244870.0
West,Feb,180393.0
