category,month,total_sales,total_profit
Furniture,Sep,232000.0,39791.0
Furniture,Oct,212053.0,38840.0
Furniture,Mar,266898.0,48863.0
Office Supplies,Feb,608454.0,108361.0
Technology,Jul,235094.0,40287.0
Office Supplies,Dec,668757.0,116368.0
Furniture,Aug,221447.0,40407.0
Office Supplies,Jul,612759.0,111671.0
Office Supplies,Jun,579557.0,105873.0
Technology,Sep,202016.0,36696.0
Technology,Dec,288044.0,51456.0
Technology,Jun,240620.0,44015.0
Office Supplies,Jan,683998.0,118063.0
Technology,Aug,215625.0,37895.0
Technology,Oct,262776.0,44852.0
Technology,Jan,224076.0,40749.0
Office Supplies,Mar,664569.0,111904.0
Office Supplies,Aug,594602.0,104782.0
Office Supplies,Sep,592987.0,105560.0
Office Supplies,Oct,670731.0,117703.0
Furniture,Nov,205493.0,35434.0
Office Supplies,Nov,599897.0,102109.0
Technology,May,215809.0,36429.0
Furniture,Feb,175299.0,32586.0
Office Supplies,Apr,627506.0,109563.0
Furniture,Jan,204831.0,35508.0
Furniture,Jun,201602.0,34891.0
Technology,Nov,251400.0,45202.0
Technology,Mar,193469.0,33294.0
Technology,Feb,199538.0,32814.0
Furniture,Apr,222136.0,39663.0
Technology,Apr,281468.0,48262.0
Furniture,Dec,253373.0,46431.0
Office Supplies,May,694145.0,124616.0
Furniture,Jul,192290.0,34020.0
Furniture,May,209810.0,38901.0
