region,month_name,total_sales
South,Mar,253073.0
South,Jan,242909.0
East,Apr,397985.0
East,Nov,359315.0
Central,May,295117.0
East,Mar,374052.0
Central,Oct,294319.0
South,Nov,241766.0
Central,Apr,314765.0
South,Jul,180059.0
Central,Mar,329907.0
East,Jan,388401.0
West,Apr,404526.0
East,Sep,361747.0
South,Sep,219865.0
West,Aug,347279.0
Central,Nov,276988.0
South,Feb,229367.0
West,Mar,376023.0
South,Dec,247331.0
East,Feb,393344.0
West,Dec,465919.0
West,Sep,396588.0
Central,Sep,269432.0
South,Aug,219531.0
East,Jun,349018.0
West,Jan,433340.0
South,Apr,249551.0
Central,Dec,322135.0
West,Oct,400931.0
Central,Jun,294300.0
Central,Aug,313230.0
East,Oct,424500.0
West,Jun,385378.0
West,Jul,389897.0
West,Nov,392915.0
East,Dec,411135.0
South,Jun,236986.0
East,Jul,394028.0
East,May,379364.0
South,Oct,281665.0
Central,Jul,325745.0
Central,Jan,303685.0
East,Aug,353523.0
Central,Feb,311062.0
South,May,268608.0
West,May,392406.0
West,Feb,290745.0
