region,month_name,total_sales
South,Mar,184984.0
South,Jan,164877.0
East,Apr,262616.0
East,Nov,246614.0
Central,May,203122.0
East,Mar,255232.0
Central,Oct,189116.0
South,Nov,158853.0
Central,Apr,207875.0
South,Jul,110754.0
Central,Mar,226479.0
East,Jan,269352.0
West,Apr,272778.0
East,Sep,229929.0
South,Sep,161400.0
West,Aug,229760.0
Central,Nov,185919.0
South,Feb,162182.0
West,Mar,259244.0
South,Dec,180078.0
East,Feb,243377.0
West,Dec,306455.0
West,Sep,247264.0
Central,Sep,191816.0
South,Aug,155080.0
East,Jun,233360.0
West,Jan,276623.0
South,Apr,151335.0
Central,Dec,197918.0
West,Oct,259376.0
Central,Jun,186476.0
Central,Aug,206816.0
East,Oct,307786.0
West,Jun,266362.0
West,Jul,268943.0
West,Nov,264974.0
East,Dec,264150.0
South,Jun,147836.0
East,Jul,243049.0
East,May,257832.0
South,Oct,191351.0
Central,Jul,206284.0
Central,Jan,192016.0
East,Aug,244611.0
Central,Feb,213794.0
South,May,179463.0
West,May,245141.0
West,Feb,180722.0
