category,month,total_sales,total_profit
Furniture,Sep,211082.0,35914.0
Furniture,Oct,201310.0,37151.0
Furniture,Mar,243289.0,44449.0
Office Supplies,Feb,567743.0,100222.0
Technology,Jul,209574.0,36239.0
Office Supplies,Dec,622152.0,108126.0
Furniture,Aug,205130.0,37308.0
Office Supplies,Jul,569534.0,103448.0
Office Supplies,Jun,544400.0,100292.0
Technology,Sep,189211.0,34375.0
Technology,Dec,266200.0,47708.0
Technology,Jun,223626.0,40920.0
Office Supplies,Jan,629709.0,108613.0
Technology,Aug,203046.0,35449.0
Technology,Oct,251137.0,43017.0
Technology,Jan,209299.0,38035.0
Office Supplies,Mar,607256.0,102105.0
Office Supplies,Aug,556269.0,97858.0
Office Supplies,Sep,541396.0,95747.0
Office Supplies,Oct,619608.0,109244.0
Furniture,Nov,191500.0,32758.0
Office Supplies,Nov,561003.0,95530.0
Technology,May,200912.0,33436.0
Furniture,Feb,162936.0,30550.0
Office Supplies,Apr,575472.0,100320.0
Furniture,Jan,190642.0,33206.0
Furniture,Jun,187683.0,32271.0
Technology,Nov,232616.0,41334.0
Technology,Mar,181461.0,30908.0
Technology,Feb,189911.0,31089.0
Furniture,Apr,209869.0,37549.0
Technology,Apr,260595.0,43940.0
Furniture,Dec,238834.0,43873.0
Office Supplies,May,628001.0,112892.0
Furniture,Jul,179934.0,31947.0
Furniture,May,193130.0,35778.0
