region,month_name,total_sales
South,Mar,155270.0
Central,Sep,166245.0
South,Aug,135342.0
South,Jan,135978.0
East,Jun,181581.0
West,Jan,238067.0
South,Apr,125342.0
East,Apr,212177.0
East,Nov,213985.0
Central,Dec,166762.0
West,Oct,230280.0
Central,May,181080.0
Central,Jun,160502.0
East,Mar,210980.0
Central,Aug,168898.0
East,Oct,256389.0
Central,Oct,166673.0
South,Nov,134782.0
West,Jun,204519.0
Central,Apr,184443.0
South,Jul,96683.0
West,Jul,219362.0
West,Nov,232733.0
Central,Mar,208042.0
East,Jan,225625.0
West,Apr,214549.0
East,Sep,199973.0
East,Dec,231569.0
South,Jun,122597.0
East,Jul,201570.0
East,May,217131.0
South,Sep,135620.0
West,Aug,201673.0
South,Oct,163042.0
Central,Jul,172397.0
Central,Jan,161132.0
East,Aug,211852.0
Central,Nov,157977.0
South,Feb,147223.0
West,Mar,216718.0
Central,Feb,177538.0
South,Dec,156332.0
East,Feb,207752.0
South,May,156735.0
West,Dec,270329.0
West,Sep,201412.0
West,May,199427.0
West,Feb,159942.0
