state,total_sales,total_customers
Alabama,59315.0,28
Arizona,324882.0,92
Arkansas,55819.0,6
California,2211558.0,563
Colorado,252958.0,62
Connecticut,80547.0,20
Delaware,82830.0,19
District of Columbia,6729.0,2
Florida,407354.0,90
Georgia,153716.0,67
Illinois,490379.0,142
Indiana,129448.0,35
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,271071.0,46
Louisiana,58059.0,25
Maryland,37983.0,11
Massachusetts,138206.0,42
Michigan,225193.0,50
Minnesota,175075.0,34
Mississippi,62188.0,16
Missouri,75360.0,26
Nebraska,4094.0,6
Nevada,18341.0,14
New Hampshire,26340.0,9
New Jersey,180712.0,42
New Mexico,7401.0,9
New York,1120786.0,312
North Carolina,323089.0,103
Ohio,544823.0,142
Oklahoma,42056.0,11
Oregon,35846.0,5
Pennsylvania,609479.0,166
Rhode Island,58698.0,14
South Dakota,2397.0,4
Tennessee,174872.0,48
Texas,1086327.0,278
Utah,81372.0,25
Virginia,239637.0,59
Washington,512751.0,149
Wisconsin,83634.0,30
