state,total_sales,total_customers
Alabama,86793.0,60
Arizona,396145.0,156
Arkansas,58497.0,8
California,2734663.0,1055
Colorado,338035.0,134
Connecticut,93065.0,38
Delaware,106675.0,41
District of Columbia,7388.0,3
Florida,486621.0,168
Georgia,230262.0,126
Illinois,652015.0,271
Indiana,168472.0,69
Iowa,32736.0,22
Kansas,39692.0,7
Kentucky,316675.0,78
Louisiana,75135.0,44
Maryland,45959.0,22
Massachusetts,175975.0,73
Michigan,298389.0,106
Minnesota,236626.0,75
Mississippi,79959.0,35
Missouri,89977.0,44
Nebraska,8416.0,10
Nevada,25491.0,18
New Hampshire,28674.0,14
New Jersey,220015.0,78
New Mexico,15388.0,18
New York,1401337.0,546
North Carolina,418007.0,208
Ohio,656283.0,249
Oklahoma,60194.0,23
Oregon,54549.0,14
Pennsylvania,768562.0,319
Rhode Island,67730.0,24
South Dakota,15178.0,6
Tennessee,205739.0,79
Texas,1345273.0,516
Utah,95049.0,36
Virginia,274399.0,101
Washington,627565.0,253
Wisconsin,103833.0,53
