region,month_name,total_sales
South,Mar,212434.0
South,Jan,197112.0
East,Apr,325740.0
East,Nov,293890.0
Central,May,245512.0
East,Mar,300012.0
Central,Oct,223723.0
South,Nov,197045.0
Central,Apr,247443.0
South,Jul,134840.0
Central,Mar,262519.0
East,Jan,310922.0
West,Apr,330946.0
East,Sep,284797.0
South,Sep,195307.0
West,Aug,279299.0
Central,Nov,217661.0
South,Feb,181487.0
West,Mar,308594.0
South,Dec,206189.0
East,Feb,299630.0
West,Dec,387745.0
West,Sep,301907.0
Central,Sep,217415.0
South,Aug,184986.0
East,Jun,281566.0
West,Jan,339194.0
South,Apr,205600.0
Central,Dec,247249.0
West,Oct,314381.0
Central,Jun,221891.0
Central,Aug,260931.0
East,Oct,360411.0
West,Jun,316158.0
West,Jul,319964.0
West,Nov,328977.0
East,Dec,333318.0
South,Jun,180329.0
East,Jul,308332.0
East,May,305809.0
South,Oct,218575.0
Central,Jul,243962.0
Central,Jan,244631.0
East,Aug,286675.0
Central,Feb,243348.0
South,May,212687.0
West,May,305723.0
West,Feb,231287.0
